SRAnumber,organism,tissue,general_celltype,specific_celltype,treatment_code,treatment_code_2,treated_or_like_treated,repnumber,keyword,exptype,mapped_reads,total_reads,percent_mapped,TSS,bidirectionals
SRR1035900,human,heart,Endothelial,HAEC,control_2hr,none,no,rep1,Kaikkonen2014,GRO-seq,20755295,24941900,0.832145707,0.215517,30058
SRR1035901,human,heart,Endothelial,HAEC,VEGFA_2hr,VEGFA_2hr,yes,rep1,Kaikkonen2014,GRO-seq,15092309,20832692,0.724453134,0.214534,32834
SRR1041870,human,lung_carcinoma,A549,A549,control,none,no,rep1,Miller2015,GRO-seq,98965473,151534393,0.653089184,0.185697,55973
SRR1041871,human,lung_carcinoma,A549,A549,control,none,no,rep1,Miller2015,GRO-seq,89009158,137779315,0.646027003,0.137738,67512
SRR1041872,human,lung_carcinoma,A549,A549,siSetx,siSetx,yes,rep1,Miller2015,GRO-seq,121324860,170425471,0.71189394,0.189772,55630
SRR1041873,human,lung_carcinoma,A549,A549,siSetx,siSetx,yes,rep1,Miller2015,GRO-seq,91601410,150408921,0.609015804,0.146017,66177
SRR1105736,human,colon_cancer,HCT116,HCT116,DMSO_1hr,none,no,rep2,Allen2014,GRO-seq,54307224,69399243,0.782533377,0.165875,49875
SRR1105737,human,colon_cancer,HCT116,HCT116,DMSO_1hr,none,no,rep1,Allen2014,GRO-seq,135980558,142620314,0.953444528,0.253028,29305
SRR1105738,human,colon_cancer,HCT116,HCT116,Nutlin_1hr,Nutlin_1hr,yes,rep1,Allen2014,GRO-seq,158978147,166083763,0.957216673,0.223505,30912
SRR1105739,human,colon_cancer,HCT116,HCT116,Nutlin_1hr,Nutlin_1hr,yes,rep2,Allen2014,GRO-seq,148312639,158943040,0.933118172,0.252243,29765
SRR1105740,human,colon_cancer,HCT116,p53HCT116,DMSO_1hr,none,no,rep1,Allen2014,GRO-seq,176480595,184022999,0.959013797,0.251352,29767
SRR1105741,human,colon_cancer,HCT116,p53HCT116,Nutlin_1hr,Nutlin_1hr,yes,rep1,Allen2014,GRO-seq,157834615,162410974,0.971822354,0.296097,24904
SRR1145801,human,ESC,CyT49,CyT49_undifferentiated_hESC,none,none,no,rep1,Wang2015a,GRO-seq,183241444,298099247,0.614699453,0.173093,34571
SRR1145808,human,ESC,CyT49,CyT49_definitive_endoderm,none,none,no,rep1,Wang2015a,GRO-seq,117541564,290076884,0.40520831,0.120581,64181
SRR1145815,human,ESC,CyT49,CyT49_primitive_gut_tube,none,none,no,rep1,Wang2015a,GRO-seq,38084294,58828025,0.647383522,0.212375,32306
SRR1145822,human,ESC,CyT49,CyT49_posterior_foregut,none,none,no,rep1,Wang2015a,GRO-seq,40538804,59380853,0.682691507,0.210637,25195
SRR1145829,human,ESC,CyT49,CyT49_pancreatic_endoderm,none,none,no,rep1,Wang2015a,GRO-seq,40102954,54947852,0.729836609,0.205331,25247
SRR1192053,human,prostate_cancer,LNCap,LNCap,DMSO_2hr+DHT_1hr,DMSO_2hr+DHT_1hr,yes,rep1,Jin2014,GRO-seq,52245442,65821239,0.793747471,0.28396,17668
SRR1192054,human,prostate_cancer,LNCap,LNCap,DMSO_2hr+Etoh_1hr,none,no,rep1,Jin2014,GRO-seq,41894857,51280589,0.816973007,0.261734,18515
SRR1192055,human,prostate_cancer,LNCap,LNCap,SD70_2hr+DHT_1hr,SD70_2hr+DHT_1hr,yes,rep1,Jin2014,GRO-seq,40498867,50615191,0.800132652,0.269716,18297
SRR1192056,human,prostate_cancer,LNCap,LNCap,SD70_2hr+Etoh_1hr,SD70_2hr+Etoh_1hr,yes,rep1,Jin2014,GRO-seq,34494061,43220754,0.798090218,0.249724,19926
SRR1219737,human,ESC,H1,H1,Activin_48hr,Activin_48hr,yes,rep1-a,Sigova2013,GRO-seq,34261448,97406882,0.351735394,0.243461,34219
SRR122339,human,prostate_cancer,LNCap,LNCaP,vehicle-siCTRL,none,no,rep1,Wang2011,GRO-seq,19529348,36094248,0.54106538,0.136399,55565
SRR122340,human,prostate_cancer,LNCap,LNCaP,dht-siCTRL,dht-siCTRL,yes,rep1,Wang2011,GRO-seq,18484028,32045861,0.576799232,0.121649,42713
SRR122341,human,prostate_cancer,LNCap,LNCaP,dht-siFoxA1,dht-siFoxA1,yes,rep1,Wang2011,GRO-seq,19800337,32234177,0.614265318,0.12838,50226
SRR1224573,human,colon_cancer,HCT116,HCT116,DMSO_30min,none,no,rep1,Allen2014,GRO-seq,153086640,205211352,0.745994988,0.230073,27739
SRR1224574,human,colon_cancer,HCT116,HCT116,Nutlin_30min,Nutlin_30min,yes,rep1,Allen2014,GRO-seq,148184642,175418701,0.844748257,0.146683,51758
SRR1233867,mouse,fat,adipocyte,3T3-L1_adipocyte,none,none,no,rep1,Step2014,GRO-seq,123079346,278098240,0.442575063,0.226852,25140
SRR1233868,mouse,fat,adipocyte,3T3-L1_adipocyte,Biomol-DMSO_10min,Biomol-DMSO_10min,yes,rep1,Step2014,GRO-seq,132812403,276446603,0.480426967,0.25939,21426
SRR1233869,mouse,fat,adipocyte,3T3-L1_adipocyte,Biomol-DMSO_30min,Biomol-DMSO_30min,yes,rep1,Step2014,GRO-seq,114958318,270480931,0.425014501,0.231131,26237
SRR1233870,mouse,fat,adipocyte,3T3-L1_adipocyte,Biomol-DMSO_1hr,Biomol-DMSO_1hr,yes,rep1,Step2014,GRO-seq,139714369,273120263,0.511548896,0.254482,24776
SRR1233871,mouse,fat,adipocyte,3T3-L1_adipocyte,Biomol-DMSO_3hr,Biomol-DMSO_3hr,yes,rep1,Step2014,GRO-seq,114182592,275143784,0.414992446,0.203451,30971
SRR1233872,mouse,fat,adipocyte,3T3-L1_adipocyte,none,none,no,rep2,Step2014,GRO-seq,105685100,212136972,0.498192743,0.239753,26894
SRR1233873,mouse,fat,adipocyte,3T3-L1_adipocyte,Biomol-DMSO_10min,Biomol-DMSO_10min,yes,rep2,Step2014,GRO-seq,89160751,169184552,0.527002909,0.248184,28617
SRR1233874,mouse,fat,adipocyte,3T3-L1_adipocyte,Biomol-DMSO_30min,Biomol-DMSO_30min,yes,rep2,Step2014,GRO-seq,66803143,188221591,0.354917534,0.226676,25405
SRR1233875,mouse,fat,adipocyte,3T3-L1_adipocyte,Biomol-DMSO_1hr,Biomol-DMSO_1hr,yes,rep2,Step2014,GRO-seq,87539536,180342672,0.485406671,0.25135,21687
SRR1233876,mouse,fat,adipocyte,3T3-L1_adipocyte,Biomol-DMSO_3hr,Biomol-DMSO_3hr,yes,rep2,Step2014,GRO-seq,69064943,170046816,0.406152521,0.303147,20623
SRR1275489,human,malignant_melaoma,A375,A375,DMSO_48hr,none,no,rep1,Tan2014,GRO-seq,10863834,12174743,0.89232553,0.442298,9679
SRR1275490,human,malignant_melaoma,A375,A375,DMSO_48hr,none,no,rep2,Tan2014,GRO-seq,12075828,15400969,0.784095338,0.428913,12133
SRR1275491,human,malignant_melaoma,A375,A375,Leflunomide_48hr,Leflunomide_48hr,yes,rep1,Tan2014,GRO-seq,15741066,17119601,0.919476219,0.403168,14835
SRR1275492,human,malignant_melaoma,A375,A375,Leflunomide_48hr,Leflunomide_48hr,yes,rep2,Tan2014,GRO-seq,16301282,20658238,0.789093533,0.399243,13205
SRR1275493,human,malignant_melaoma,A375,A375,A771726_48hr,A771726_48hr,yes,rep1,Tan2014,GRO-seq,25315636,27873749,0.908225011,0.378997,15855
SRR1275494,human,malignant_melaoma,A375,A375,A771726_48hr,A771726_48hr,yes,rep2,Tan2014,GRO-seq,20249495,24780556,0.817152569,0.407387,10722
SRR1297231,mouse,heart,heart(BlackSwiss),BlackSwiss,none,none,no,rep1,Wei2015,GRO-seq,33955924,36848535,0.921499973,0.359743,15951
SRR1297232,mouse,heart,heart(BlackSwiss),BlackSwiss_RBFox2-KO,none,none,no,rep1,Wei2015,GRO-seq,34875747,37776618,0.923209881,0.330351,15032
SRR1297233,mouse,fibroblast,MEF,MEF,none,none,no,rep1-a,Wei2015,GRO-seq,18019334,23464193,0.767950298,0.235399,27942
SRR1297234,mouse,fibroblast,MEF,MEF,none,none,no,rep1-b,Wei2015,GRO-seq,17933147,23587076,0.760295469,0.238398,29106
SRR1297235,mouse,fibroblast,MEF,MEF,siRBFox2,siRBFox2,yes,rep1-a,Wei2015,GRO-seq,17344053,22839960,0.759373178,0.19797,30882
SRR1297236,mouse,fibroblast,MEF,MEF,siRBFox2,siRBFox2,yes,rep1-b,Wei2015,GRO-seq,19804490,25317995,0.782229793,0.216128,26782
SRR1297237,mouse,fibroblast,MEF,MEF,siSUZ12,siSUZ12,yes,rep1-a,Wei2015,GRO-seq,20814331,25597607,0.813135814,0.290305,21051
SRR1297238,mouse,fibroblast,MEF,MEF,siSUZ12,siSUZ12,yes,rep1-b,Wei2015,GRO-seq,21647156,26822325,0.807057405,0.281228,21289
SRR1342250,human,cervical_cancer,HeLa,HeLa,EGF_20min,EGF_20min,yes,rep1,Gardini2014,GRO-seq,55746003,59146694,0.942504124,0.236244,26079
SRR1342251,human,cervical_cancer,HeLa,HeLa,EGF_20min_shRNA_Integrator,EGF_20min_shRNA_Integrator,yes,rep1,Gardini2014,GRO-seq,43294366,45851835,0.944223192,0.254893,20793
SRR1342252,human,cervical_cancer,HeLa,HeLa,EGF_20min,EGF_20min,yes,rep2,Gardini2014,GRO-seq,113423096,144111920,0.787048677,0.206966,37412
SRR1342253,human,cervical_cancer,HeLa,HeLa,EGF_20min_shRNA_Integrator,EGF_20min_shRNA_Integrator,yes,rep2,Gardini2014,GRO-seq,75682722,107177004,0.70614702,0.166582,49495
SRR1406747,human,Umbilical,Endothelial,HUVEC,control_2hr,none,no,rep2,Kaikkonen2014,GRO-seq,14068248,14833165,0.948431977,0.255455,23190
SRR1406748,human,Umbilical,Endothelial,HUVEC,VEGFA_2hr,VEGFA_2hr,yes,rep2,Kaikkonen2014,GRO-seq,14787331,16156038,0.915282014,0.275223,22876
SRR1482437,mouse,ESC,C2,C2,none,none,no,rep1-b,Williams2015,GRO-seq,695,7455355,9.32E-05,0,2
SRR1482438,mouse,ESC,C2,C2,none,none,no,rep1-c,Williams2015,GRO-seq,1610,28922502,5.57E-05,0,3
SRR1482439,mouse,ESC,C2,C2,none,none,no,rep1-d,Williams2015,GRO-seq,1178,19833712,5.94E-05,0.166667,8
SRR1482440,mouse,ESC,C2,C2,none,none,no,rep1-e,Williams2015,GRO-seq,1690,27405844,6.17E-05,0,6
SRR1482441,mouse,ESC,C2,C2,none,none,no,rep2-a,Williams2015,GRO-seq,470,5405192,8.70E-05,#NAME?,1
SRR1482442,mouse,ESC,C2,C2,none,none,no,rep2-b,Williams2015,GRO-seq,712,8067889,8.83E-05,0,1
SRR1482443,mouse,ESC,C2,C2,none,none,no,rep2-c,Williams2015,GRO-seq,1642,27664397,5.94E-05,0.166667,9
SRR1482444,mouse,ESC,C2,C2,none,none,no,rep2-d,Williams2015,GRO-seq,1720,28619256,6.01E-05,0,11
SRR1501091,human,breast_cancer,MCF7,MCF7,DMSO_12hr,DMSO_12hr,no,rep1,Leveille2015,GRO-seq,142369261,144414788,0.985835751,0.298296,20892
SRR1501092,human,breast_cancer,MCF7,MCF7,DMSO_12hr,DMSO_12hr,no,rep2,Leveille2015,GRO-seq,116199560,118028985,0.984500206,0.31508,20982
SRR1501093,human,breast_cancer,MCF7,MCF7,Nutlin_12hr,Nutlin_12hr,no,rep1,Leveille2015,GRO-seq,126994488,128928432,0.984999864,0.240545,24299
SRR1501094,human,breast_cancer,MCF7,MCF7,Nutlin_12hr,Nutlin_12hr,no,rep2,Leveille2015,GRO-seq,110154633,111781572,0.985445374,0.310667,20765
SRR1517780,mouse,Liver,Liver(C57BL/6),Liver,zt_1hr,none,no,rep1,Fang2014,GRO-seq,17890769,76843501,0.232820847,0.046671,8384
SRR1517781,mouse,Liver,Liver(C57BL/6),Liver,zt_4hr,none,no,rep1,Fang2014,GRO-seq,22750389,90202873,0.252213574,0.046257,10042
SRR1517782,mouse,Liver,Liver(C57BL/6),Liver,zt_7hr,none,no,rep1,Fang2014,GRO-seq,28363645,113028055,0.250943405,0.045326,12742
SRR1517783,mouse,Liver,Liver(C57BL/6),Liver,zt_10hr,none,no,rep1,Fang2014,GRO-seq,72494618,173418133,0.418033667,0.049382,25722
SRR1517784,mouse,Liver,Liver(C57BL/6),Liver,zt_13hr,none,no,rep1,Fang2014,GRO-seq,23419399,118378453,0.197834981,0.049188,12092
SRR1517785,mouse,Liver,Liver(C57BL/6),Liver,zt_16hr,none,no,rep1,Fang2014,GRO-seq,24129760,98176995,0.245778148,0.052778,11592
SRR1517786,mouse,Liver,Liver(C57BL/6),Liver,zt_19hr,none,no,rep1,Fang2014,GRO-seq,26763716,105375519,0.253984192,0.052241,12622
SRR1517787,mouse,Liver,Liver(C57BL/6),Liver,zt_22hr,none,no,rep1,Fang2014,GRO-seq,70273140,122862704,0.571964784,0.047104,27239
SRR1517788,mouse,Liver,Liver(C57BL/6),Liver,zt_10hr,none,no,rep2,Fang2014,GRO-seq,27042777,137243722,0.197041997,0.051884,11304
SRR1517789,mouse,Liver,Liver(C57BL/6),Liver,zt_22hr,none,no,rep2,Fang2014,GRO-seq,26352952,133668191,0.197152006,0.049555,12996
SRR1517790,mouse,Liver,Liver(C57BL/6),Liver_Rev-erba-wt,zt_10hr,none,no,rep1,Fang2014,GRO-seq,14597423,67188285,0.217261432,0.046927,9101
SRR1517791,mouse,Liver,Liver(C57BL/6),Liver_Rev-erba-KO,zt_10hr,none,yes,rep2,Fang2014,GRO-seq,20798670,75944645,0.273866182,0.047302,11963
SRR1519032,human,breast_cancer,MCF7,MCF7,vehicle_40min,none,no,rep1,Franco2015,GRO-seq,26379107,28284321,0.932640632,0.108552,90252
SRR1519033,human,breast_cancer,MCF7,MCF7,vehicle_40min,none,no,rep2,Franco2015,GRO-seq,19996242,21129556,0.946363568,0.101386,97962
SRR1519034,human,breast_cancer,MCF7,MCF7,vehicle_40min,none,no,rep3,Franco2015,GRO-seq,26439631,27525407,0.96055368,0.108073,87691
SRR1519035,human,breast_cancer,MCF7,MCF7,E2_40min,E2_40min,yes,rep1,Franco2015,GRO-seq,18025469,19415428,0.928409562,0.099984,107297
SRR1519036,human,breast_cancer,MCF7,MCF7,E2_40min,E2_40min,yes,rep2,Franco2015,GRO-seq,28444869,29391152,0.967803814,0.108525,85234
SRR1519037,human,breast_cancer,MCF7,MCF7,E2_40min,E2_40min,yes,rep3,Franco2015,GRO-seq,19342209,20796695,0.930061676,0.111175,93276
SRR1519038,human,breast_cancer,MCF7,MCF7,TNFa_40min,TNFa_40min,yes,rep1,Franco2015,GRO-seq,19079678,20950397,0.910707229,0.098649,105870
SRR1519039,human,breast_cancer,MCF7,MCF7,TNFa_40min,TNFa_40min,yes,rep2,Franco2015,GRO-seq,23252697,24073177,0.965917253,0.106774,78952
SRR1519040,human,breast_cancer,MCF7,MCF7,TNFa_40min,TNFa_40min,yes,rep3,Franco2015,GRO-seq,22621781,23507716,0.962313012,0.103617,81570
SRR1519041,human,breast_cancer,MCF7,MCF7,E2_TNFa_40min,E2_TNFa_40min,yes,rep1,Franco2015,GRO-seq,20440917,22571166,0.905620782,0.095111,111848
SRR1519042,human,breast_cancer,MCF7,MCF7,E2_TNFa_40min,E2_TNFa_40min,yes,rep2,Franco2015,GRO-seq,21905938,22927648,0.955437645,0.108378,78411
SRR1519043,human,breast_cancer,MCF7,MCF7,E2_TNFa_40min,E2_TNFa_40min,yes,rep3,Franco2015,GRO-seq,23354296,24570863,0.950487413,0.107297,82733
SRR1542320,human,breast_cancer,MCF7,MCF7,siCTL_vehicle,none,no,rep1,Liu2014,GRO-seq,23199714,26824817,0.864860103,0.295849,24668
SRR1542321,human,breast_cancer,MCF7,MCF7,siCTL_E2,siCTL_E2,yes,rep1,Liu2014,GRO-seq,32540044,57943874,0.561578675,0.22319,33299
SRR1542322,human,breast_cancer,MCF7,MCF7,siGATA3_vehicle,siGATA3_vehicle,yes,rep1,Liu2014,GRO-seq,41907692,49031229,0.854714288,0.281741,26787
SRR1542323,human,breast_cancer,MCF7,MCF7,siGATA3_E2,siGATA3_E2,yes,rep2,Liu2014,GRO-seq,37997629,52923067,0.71797859,0.238673,32136
SRR1542324,human,breast_cancer,MCF7,MCF7,shCTL_vehicle,shCTL_vehicle,yes,rep2,Liu2014,GRO-seq,44786463,51408485,0.871188151,0.338183,18283
SRR1542325,human,breast_cancer,MCF7,MCF7,shCTL_RA,shCTL_RA,yes,rep2,Liu2014,GRO-seq,40072019,46054071,0.870108074,0.324892,19428
SRR1542326,human,breast_cancer,MCF7,MCF7,shCTL_E2,shCTL_E2,yes,rep2,Liu2014,GRO-seq,32087591,47527368,0.675139238,0.256326,25924
SRR1542327,human,breast_cancer,MCF7,MCF7,shRARs_vehicle,shRARs_vehicle,yes,rep2,Liu2014,GRO-seq,39017458,50479474,0.772937095,0.298454,19410
SRR1542328,human,breast_cancer,MCF7,MCF7,shRARs_RA,shRARs_RA,yes,rep2,Liu2014,GRO-seq,19672329,25457902,0.7727396,0.256359,24216
SRR1542329,human,breast_cancer,MCF7,MCF7,shRARs_E2,shRARs_E2,yes,rep2,Liu2014,GRO-seq,38185593,47526633,0.803456727,0.299894,22618
SRR1542330,human,breast_cancer,MCF7,MCF7,shCTL_vehicle,shCTL_vehicle,yes,rep2,Liu2014,GRO-seq,48118855,51290726,0.938158976,0.327498,19594
SRR1542331,human,breast_cancer,MCF7,MCF7,shCTL_E2,shCTL_E2,yes,rep3,Liu2014,GRO-seq,46032739,48474485,0.949628222,0.344953,17843
SRR1542332,human,breast_cancer,MCF7,MCF7,shAP2g_vehicle,shAP2g_vehicle,yes,rep3,Liu2014,GRO-seq,44768881,47953658,0.93358636,0.302715,17898
SRR1542333,human,breast_cancer,MCF7,MCF7,shAP2g_E2,shAP2g_E2,yes,rep3,Liu2014,GRO-seq,46680061,49969579,0.934169587,0.308428,16208
SRR1544604,human,cervical_cancer,HeLa,HeLa,none,none,no,rep1,Nojima2015,NET-seq,101573739,105715832,0.960818612,0.141373,48892
SRR1544605,human,cervical_cancer,HeLa,HeLa,none,none,no,rep1,Nojima2015,NET-seq,86148973,92797714,0.928352319,0.150703,48413
SRR1544606,human,cervical_cancer,HeLa,HeLa,none,none,no,rep1,Nojima2015,NET-seq,88463512,92452104,0.956857748,0.156906,52197
SRR1544608,human,cervical_cancer,HeLa,HeLa,siLuc,siLuc,yes,rep1,Nojima2015,NET-seq,72092076,76827275,0.938365652,0.130173,43934
SRR1544609,human,cervical_cancer,HeLa,HeLa,siCPSF73,siCPSF73,yes,rep1,Nojima2015,NET-seq,67665809,71914567,0.940919369,0.13369,43384
SRR1544610,human,cervical_cancer,HeLa,HeLa,siCstF64+siCstF64tau,siCstF64+siCstF64tau,yes,rep1,Nojima2015,NET-seq,76454205,80442088,0.950425417,0.130381,43902
SRR1544611,human,cervical_cancer,HeLa,HeLa,siXrn2,siXrn2,yes,rep1,Nojima2015,NET-seq,87758306,94287802,0.930749303,0.165552,40374
SRR1552315,human,cervical_cancer,HeLa,HeLa,none,none,no,rep2,Nojima2015,NET-seq,104360912,110573481,0.943815018,0.142293,48632
SRR1552316,human,cervical_cancer,HeLa,HeLa,none,none,no,rep2,Nojima2015,NET-seq,70013484,73901063,0.947394816,0.193367,37871
SRR1552480,human,leukemia,K562,K562,na,none,no,rep1,Core2014,GRO-cap,33574488,45538197,0.737281891,0.274499,39614
SRR1552481,human,leukemia,K562,K562,na,none,no,rep1,Core2014,GRO-cap,13996230,38042232,0.367912955,0.284929,35472
SRR1552482,human,Myeloid,B-cell,GM12878,na,none,no,rep1,Core2014,GRO-cap,32368738,52887249,0.612032931,0.293717,35255
SRR1552483,human,Myeloid,B-cell,GM12878,na,none,no,rep1,Core2014,GRO-cap,7299070,23647870,0.308656551,0.365322,26103
SRR1552484,human,leukemia,K562,K562,na,none,no,rep1,Core2014,GRO-seq,14753441,30363736,0.485890175,0.247673,30298
SRR1552485,human,Myeloid,B-cell,GM12878,na,none,no,rep1,Core2014,GRO-seq,24711733,205581746,0.120203926,0.337353,22804
SRR1554311,human,leukemia,K562,K562,na,none,no,rep1,Core2014,PRO-seq,81430642,250501612,0.325070331,0.393643,11640
SRR1554312,human,leukemia,K562,K562,na,none,no,rep2,Core2014,PRO-seq,79422321,246080065,0.322749919,0.392782,11444
SRR1560531,mouse,Myeloid,Macrophage,bone_marrow_macrophage,none,none,no,rep1,Hah2015,GRO-seq,53274410,94028916,0.566574755,0.312599,25811
SRR1560532,mouse,Myeloid,Macrophage,bone_marrow_macrophage,none,none,no,rep2,Hah2015,GRO-seq,11535633,16525998,0.698029432,0.13287,57463
SRR1560533,mouse,Myeloid,Macrophage,bone_marrow_macrophage,LPS_20min,LPS_20min,yes,rep1,Hah2015,GRO-seq,51587366,87617457,0.58877954,0.324588,23453
SRR1560534,mouse,Myeloid,Macrophage,bone_marrow_macrophage,LPS_20min,LPS_20min,yes,rep2,Hah2015,GRO-seq,11318816,16260002,0.69611406,0.132831,50420
SRR1560535,mouse,Myeloid,Macrophage,bone_marrow_macrophage,LPS_60min,LPS_60min,yes,rep1,Hah2015,GRO-seq,42106337,80321768,0.524220744,0.333191,24114
SRR1560536,mouse,Myeloid,Macrophage,bone_marrow_macrophage,LPS_60min,LPS_60min,yes,rep2,Hah2015,GRO-seq,14261979,21525286,0.662568618,0.123393,65078
SRR1560537,mouse,Myeloid,Macrophage,bone_marrow_macrophage,LPS_180min,LPS_180min,yes,rep1,Hah2015,GRO-seq,41864940,70561577,0.593310719,0.296429,25254
SRR1560538,mouse,Myeloid,Macrophage,bone_marrow_macrophage,LPS_180min,LPS_180min,yes,rep2,Hah2015,GRO-seq,9766748,15523080,0.629175911,0.125482,50478
SRR1574538,human,cervical_cancer,HeLa,HeLa,siCtrl,siCtrl,yes,rep1,Chen2014,GRO-seq,9868954,20150175,0.489770138,0.343807,15404
SRR1574539,human,cervical_cancer,HeLa,HeLa,siSsu72,siSsu72,yes,rep1,Chen2014,GRO-seq,11468510,24462318,0.468823519,0.324782,17113
SRR1575914,human,cervical_cancer,HeLa,HeLaS3,none,none,no,rep2-a,Mayer2015,NET-seq,32850093,269512731,0.121886981,0.090683,110131
SRR1575915,human,cervical_cancer,HeLa,HeLaS3,none,none,no,rep2-b,Mayer2015,NET-seq,36340706,237780570,0.15283295,0.116621,82524
SRR1575916,human,cervical_cancer,HeLa,HeLaS3,none,none,no,rep2-c,Mayer2015,NET-seq,37076855,242621845,0.152817464,0.11626,84156
SRR1575917,human,cervical_cancer,HeLa,HeLaS3,none,none,no,rep2-d,Mayer2015,NET-seq,1155889,7682039,0.150466432,0.315273,5814
